name,latitude,longitude,street,city,state,zip,phone,website
Trader Joe's Brea (11),33.9105696,-117.8700159,2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,https://locations.traderjoes.com/ca/brea/11/
Trader Joe's Escondido (105),33.1000238,-117.074828,1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020,https://locations.traderjoes.com/ca/escondido/105/
Trader Joe's Woodland Hills (209),34.1672602,-118.5923118,21055 Ventura Blvd,Woodland Hills,CA,91364,818-712-9475,https://locations.traderjoes.com/ca/woodland-hills/209/
Trader Joe's West Hollywood (40),34.0905924,-118.349205,7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/
Trader Joe's West Hollywood (173),34.0880939,-118.3795672,8611 Santa Monica Blvd,West Hollywood,CA,90069,310-657-0152,https://locations.traderjoes.com/ca/west-hollywood/173/
Trader Joe's Long Beach - Bellflower Blvd (194),33.7967761,-118.1228974,2222 North Bellflower Blvd,Long Beach,CA,90815,562-596-2514,https://locations.traderjoes.com/ca/long-beach/194/
Trader Joe's Long Beach - PCH (43),33.7566977,-118.1097028,6451 E Pacific Coast  Hwy,Long Beach,CA,90803,562-596-4388,https://locations.traderjoes.com/ca/long-beach/43/
Trader Joe's Long Beach - Bixby Knolls (116),33.83553920000001,-118.1884404,4210 Long Beach Blvd,Long Beach,CA,90807,562-422-1020,https://locations.traderjoes.com/ca/long-beach/116/
Trader Joe's El Cerrito (108),37.8994807,-122.3004275,225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/
Trader Joe's Petaluma (107),38.2480431,-122.6280104,169 N McDowell Blvd,Petaluma,CA,94954,707-769-2782,https://locations.traderjoes.com/ca/petaluma/107/
Trader Joe's San Francisco - Pacific Place (225),37.7855248,-122.4057903,10 4th Street,San Francisco,CA,94103,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/
Trader Joe's San Francisco - Nob Hill (200),37.7906365,-122.4179683,1095 Hyde St,San Francisco,CA,94109,415-292-7665,https://locations.traderjoes.com/ca/san-francisco/200/
Trader Joe's San Francisco - Stonestown (236),37.7266714,-122.4761885,265 Winston Dr,San Francisco,CA,94132,415-665-1835,https://locations.traderjoes.com/ca/san-francisco/236/
Trader Joe's San Francisco (100),37.7835096,-122.4478583,3 Masonic Ave,San Francisco,CA,94118,415-346-9964,https://locations.traderjoes.com/ca/san-francisco/100/
Trader Joe's San Francisco - 9th St (78),37.7711099,-122.4073786,555 9th St,San Francisco,CA,94103,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/
Trader Joe's San Francisco - North Beach (19),37.8055155,-122.413738,401 Bay St,San Francisco,CA,94133,415-351-1013,https://locations.traderjoes.com/ca/san-francisco/19/
Trader Joe's Palo Alto (207),37.4389939,-122.1588204,855 El Camino Real,Palo Alto,CA,94301,650-327-7018,https://locations.traderjoes.com/ca/palo-alto/207/
Trader Joe's Berkeley (186),37.8718916,-122.2733198,1885 University Ave,Berkeley,CA,94703,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/
Trader Joe's Hermosa Beach (248),33.8633933,-118.3920277,1100 Pacific Coast Hwy,Hermosa Beach,CA,90254,310-318-1767,https://locations.traderjoes.com/ca/hermosa-beach/248/
Trader Joe's Chatsworth (184),34.2582554,-118.5787951,10330 Mason Ave,Chatsworth,CA,91311,818-341-3010,https://locations.traderjoes.com/ca/chatsworth/184/
Trader Joe's Newport Beach (125),33.5690959,-117.8334445,8086 E Pacific Coast Hwy,Newport Beach,CA,92657,949-494-7404,https://locations.traderjoes.com/ca/newport-beach/125/
Trader Joe's Lafayette (115),37.8902393,-122.126966,3649 Mt Diablo Blvd,Lafayette,CA,94549,925-299-9344,https://locations.traderjoes.com/ca/lafayette/115/
Trader Joe's Alameda (109),37.7586044,-122.2529943,2217 South Shore Center,Alameda,CA,94501,510-769-5450,https://locations.traderjoes.com/ca/alameda/109/
Trader Joe's Costa Mesa (35),33.6367934,-117.9245798,640 W 17th St,Costa Mesa,CA,92627,949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/35/
Trader Joe's La Canada (42),34.200037,-118.1884204,475 Foothill Blvd,La Canada,CA,91011,818-790-6373,https://locations.traderjoes.com/ca/la-canada/42/
Trader Joe's Encino (56),34.17180030000001,-118.5177338,17640 Burbank Blvd,Encino,CA,91316,818-990-7751,https://locations.traderjoes.com/ca/encino/56/
Trader Joe's Fairfield (101),38.2641547,-122.0522272,1350 Gateway Blvd,Fairfield,CA,94533,707-434-0144,https://locations.traderjoes.com/ca/fairfield/101/
Trader Joe's Mission Viejo (126),33.5930519,-117.658427,25410 Marguerite Pkwy,Mission Viejo,CA,92692,949-581-5638,https://locations.traderjoes.com/ca/mission-viejo/126/
Trader Joe's Castro Valley (84),37.6853639,-122.073003,22224 Redwood Road,Castro Valley,CA,94546,510-538-2738,https://locations.traderjoes.com/ca/castro-valley/84/
Trader Joe's Redlands (99),34.0605011,-117.181021,552 Orange St,Redlands,CA,92374,909-798-3888,https://locations.traderjoes.com/ca/redlands/99/
Trader Joe's Napa (128),38.3227963,-122.3058353,3654 Bel Aire Plaza,Napa,CA,94558,707-256-0806,https://locations.traderjoes.com/ca/napa/128/
Trader Joe's Emeryville (72),37.8369813,-122.2942301,5700 Christie Ave,Emeryville,CA,94608,510-658-8091,https://locations.traderjoes.com/ca/emeryville/72/
Trader Joe's Morgan Hill (202),37.1311381,-121.6382032,17035 Laurel Rd,Morgan Hill,CA,95037,408-778-6409,https://locations.traderjoes.com/ca/morgan-hill/202/
Trader Joe's San Luis Obispo (41),35.2451064,-120.6732376,3977 Higuera Street,San Luis Obispo,CA,93401,805-783-2780,https://locations.traderjoes.com/ca/san-luis-obispo/41/
Trader Joe's Rancho Cucamonga (217),34.1377362,-117.5741371,6401 Haven Ave,Rancho Cucamonga,CA,91737,909-476-1410,https://locations.traderjoes.com/ca/rancho-cucamonga/217/
Trader Joe's South Pasadena (18),34.1153029,-118.162965,613 Mission St,S. Pasadena,CA,91030,626-441-6263,https://locations.traderjoes.com/ca/s.-pasadena/18/
Trader Joe's San Carlos (174),37.496397,-122.2485804,1482 El Camino Real,San Carlos,CA,94070,650-594-2138,https://locations.traderjoes.com/ca/san-carlos/174/
Trader Joe's West Hills (50),34.1919487,-118.6258409,6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/
Trader Joe's Pacific Grove (79),36.6055799,-121.9219308,1170 Forest Ave,Pacific Grove,CA,93950,831-656-0180,https://locations.traderjoes.com/ca/pacific-grove/79/
Trader Joe's Roseville (80),38.7462886,-121.274886,1117 Roseville Square,Roseville,CA,95678,916-784-9084,https://locations.traderjoes.com/ca/roseville/80/
Trader Joe's Menlo Park (69),37.451225,-122.1835384,720 Menlo Ave,Menlo Park,CA,94025,650-323-2134,https://locations.traderjoes.com/ca/menlo-park/69/
Trader Joe's South San Francisco (187),37.664736,-122.4461046,301 MC Lellan Dr,South San Francisco,CA,94080,650-583-6401,https://locations.traderjoes.com/ca/south-san-francisco/187/
Trader Joe's Chino Hills (216),34.0005411,-117.7321143,13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404,https://locations.traderjoes.com/ca/chino-hills/216/
Trader Joe's Redondo Beach (38),33.8185485,-118.3862774,1761 S Elena Ave,Redondo Bch.,CA,90277,310-316-1745,https://locations.traderjoes.com/ca/redondo-bch./38/
Trader Joe's Claremont (214),34.1073905,-117.7220289,475 W Foothill Blvd,Claremont,CA,91711,909-625-8784,https://locations.traderjoes.com/ca/claremont/214/
Trader Joe's Elk Grove (190),38.4066009,-121.4205286,9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/
Trader Joe's Santa Barbara (183),34.4389565,-119.7289492,3025 De La Vina St,Santa Barbara,CA,93105,805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/
Trader Joe's Santa Barbara (59),34.4249756,-119.6817021,222 North Milpas Street,Santa Barbara,CA,93103,805-560-1182,https://locations.traderjoes.com/ca/santa-barbara/59/
Trader Joe's Westlake Village (58),34.1639323,-118.8250653,3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/
Trader Joe's San Dimas (28),34.1034617,-117.8213779,856 W Arrow Hwy,San Dimas,CA,91773,909-305-4757,https://locations.traderjoes.com/ca/san-dimas/28/
Trader Joe's Rancho Santa Margarita (27),33.6424952,-117.5953482,30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,949-888-3640,https://locations.traderjoes.com/ca/rancho-santa-margarita/27/
Trader Joe's Santa Ana (113),33.7011809,-117.8842077,3329 S Bristol St,Santa Ana,CA,92704,714-424-9304,https://locations.traderjoes.com/ca/santa-ana/113/
Trader Joe's Fair Oaks (71),38.6620478,-121.2738131,5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/71/
Trader Joe's Sherman Oaks (49),34.1579742,-118.4408137,14119 Riverside Dr,Sherman Oaks,CA,91423,818-789-2771,https://locations.traderjoes.com/ca/sherman-oaks/49/
Trader Joe's Pinole (230),37.9952651,-122.2867436,2742 Pinole Valley Rd,Pinole,CA,94564,510-222-3501,https://locations.traderjoes.com/ca/pinole/230/
Trader Joe's Milpitas (229),37.4125042,-121.8998239,1306 Great Mall Pkwy,Milpitas,CA,95035,408-942-6957,https://locations.traderjoes.com/ca/milpitas/229/
Trader Joe's Bakersfield (14),35.3556172,-119.0934994,8200 Stockdale Hwy,Bakersfield,CA,93311,661-837-8863,https://locations.traderjoes.com/ca/bakersfield/14/
Trader Joe's Montrose (52),34.2069835,-118.2331706,2462 Honolulu Ave,Montrose,CA,91020,818-957-3613,https://locations.traderjoes.com/ca/montrose/52/
Trader Joe's Arroyo Grande (117),35.125703,-120.5940538,955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/117/
Trader Joe's Wilshire (253),34.0333664,-118.4804721,2300 Wilshire Blvd #101,Santa Monica,CA,90403,310-264-2223,https://locations.traderjoes.com/ca/santa-monica/253/
Trader Joe's Santa Monica (6),34.02636,-118.4557734,3212 Pico Blvd,Santa Monica,CA,90405,310-581-0253,https://locations.traderjoes.com/ca/santa-monica/6/
Trader Joe's Santa Monica (256),34.0157655,-118.4919662,500 Broadway,Santa Monica,CA,90401,310-912-6877,https://locations.traderjoes.com/ca/santa-monica/256/
Trader Joe's Chico (199),39.7593327,-121.8465736,801 East Ave,Chico,CA,95926,530-343-9920,https://locations.traderjoes.com/ca/chico/199/
Trader Joe's Temecula (102),33.5288206,-117.1561498,40665 Winchester Rd,Temecula,CA,92591,951-296-9964,https://locations.traderjoes.com/ca/temecula/102/
Trader Joe's Palmdale (185),34.6003122,-118.149297,39507 10th St W,Palmdale,CA,93551,661-947-2890,https://locations.traderjoes.com/ca/palmdale/185/
Trader Joe's Folsom (172),38.6724426,-121.1559149,850 East Bidwell,Folsom,CA,95630,916-817-8820,https://locations.traderjoes.com/ca/folsom/172/
Trader Joe's Granada Hills (44),34.272659,-118.5016054,11114 Balboa Blvd,Granada Hills,CA,91344,818-368-6461,https://locations.traderjoes.com/ca/granada-hills/44/
Trader Joe's Tustin (197),33.7468959,-117.8095278,1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/
Trader Joe's Danville (65),37.8233796,-122.003646,85 Railroad Ave,Danville,CA,94526,925-838-5757,https://locations.traderjoes.com/ca/danville/65/
Trader Joe's Marina Del Rey (205),33.9795313,-118.441315,4675 Admiralty Way,Marina Del Rey,CA,90292,310-301-4461,https://locations.traderjoes.com/ca/marina-del-rey/205/
Trader Joe's Brentwood (201),37.9611463,-121.7501075,5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/
Trader Joe's Corona (213),33.8114911,-117.5065624,2790 Cabot Dr,Corona,CA,92883,951-603-0299,https://locations.traderjoes.com/ca/corona/213/
Trader Joe's Calabasas (254),34.1556665,-118.6449836,23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/
Trader Joe's Livermore (208),37.6803533,-121.7816937,1122 A East Stanley Blvd,Livermore,CA,94550,925-243-1947,https://locations.traderjoes.com/ca/livermore/208/
Trader Joe's San Rafael (61),37.9695393,-122.5164701,337 3rd St,San Rafael,CA,94901,415-454-9530,https://locations.traderjoes.com/ca/san-rafael/61/
Trader Joe's Larkspur (235),37.9378615,-122.5149604,2052 Redwood Hwy,Greenbrae,CA,94904,415-945-7955,https://locations.traderjoes.com/ca/greenbrae/235/
Trader Joe's Mountain View (81),37.4022973,-122.1106157,590 Showers Dr,Mountain View,CA,94040,650-917-1013,https://locations.traderjoes.com/ca/mountain-view/81/
Trader Joe's La Quinta (189),33.711981,-116.2942733,46400 Washington St,La Quinta,CA,92253,760-777-1553,https://locations.traderjoes.com/ca/la-quinta/189/
Trader Joe's North Hollywood (252),34.1818815,-118.3959657,6130 Laurel Canyon Bl,North Hollywood,CA,91606,818-762-2963,https://locations.traderjoes.com/ca/north-hollywood/252/
Trader Joe's Millbrae (170),37.6038473,-122.3957937,765 Broadway,Millbrae,CA,94030,650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/
Trader Joe's Monterey (204),36.5965585,-121.8943519,570 Munras Ave,Monterey,CA,93940,831-372-2010,https://locations.traderjoes.com/ca/monterey/204/
Trader Joe's Studio City (122),34.1429443,-118.393033,11976 Ventura Blvd,Studio City,CA,91604,818-509-0168,https://locations.traderjoes.com/ca/studio-city/122/
Trader Joe's Davis (182),38.5467319,-121.7614861,885 Russell Blvd,Davis,CA,95616,530-757-2693,https://locations.traderjoes.com/ca/davis/182/
Trader Joe's Ventura (45),34.2572008,-119.2118273,1795 S. Victoria Ave,Ventura,CA,93003,805-650-9977,https://locations.traderjoes.com/ca/ventura/45/
Trader Joe's Ventura - Midtown (218),34.27164,-119.2490582,103 S Mills Rd,Ventura,CA,93003,805-658-2664,https://locations.traderjoes.com/ca/ventura/218/
Trader Joe's Carlsbad (220),33.1266131,-117.2546598,2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473,https://locations.traderjoes.com/ca/carlsbad/220/
Trader Joe's Laguna Niguel - Ocean Ranch (103),33.5183111,-117.6838768,32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,949-493-8599,https://locations.traderjoes.com/ca/laguna-niguel/103/
Trader Joe's Templeton (211),35.5419292,-120.715191,1111 Rossi Road,Templeton,CA,93465,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/
Trader Joe's Concord (83),37.9368265,-122.024742,785 Oak Grove Rd,Concord,CA,94518,925-521-1134,https://locations.traderjoes.com/ca/concord/83/
Trader Joe's Concord (60),37.979231,-122.0561341,1150 Concord Ave,Concord,CA,94520,925-689-2990,https://locations.traderjoes.com/ca/concord/60/
Trader Joe's Goleta (110),34.4406928,-119.825238,5767 Calle Real,Goleta,CA,93117,805-692-2234,https://locations.traderjoes.com/ca/goleta/110/
Trader Joe's Chula Vista (120),32.65149,-116.9705123,878 Eastlake Pkwy,Chula Vista,CA,91914,619-656-5370,https://locations.traderjoes.com/ca/chula-vista/120/
Trader Joe's Oakland - Rockridge (231),37.845625,-122.2527156,5727 College Ave,Oakland,CA,94618,510-923-9428,https://locations.traderjoes.com/ca/oakland/231/
Trader Joe's Oakland - Lakeshore (203),37.8097414,-122.2442512,3250 Lakeshore Ave,Oakland,CA,94610,510-238-9076,https://locations.traderjoes.com/ca/oakland/203/
Trader Joe's Torrance - Hawthorne Blvd (121),33.8522499,-118.3532856,19720 Hawthorne Blvd,Torrance,CA,90503,310-793-8585,https://locations.traderjoes.com/ca/torrance/121/
Trader Joe's Torrance - Rolling Hills Plaza (29),33.790641,-118.330186,2545 Pacific Coast Hwy,Torrance,CA,90505,310-326-9520,https://locations.traderjoes.com/ca/torrance/29/
Trader Joe's Irvine - Woodbury Town Center (210),33.6998684,-117.7418594,6222 Irvine Blvd,Irvine,CA,92620,949-551-6402,https://locations.traderjoes.com/ca/irvine/210/
Trader Joe's Irvine - University Ctr (111),33.6504666,-117.8375077,4225 Campus Dr,Irvine,CA,92612,949-509-6138,https://locations.traderjoes.com/ca/irvine/111/
Trader Joe's Irvine -  Walnut Village Ctr (37),33.7061608,-117.7884205,14443 Culver Dr,Irvine,CA,92604,949-857-8108,https://locations.traderjoes.com/ca/irvine/37/
Trader Joe's Stockton (76),38.00913,-121.3228167,6535 Pacific Ave,Stockton,CA,95207,209-951-7597,https://locations.traderjoes.com/ca/stockton/76/
Trader Joe's Cathedral City (118),33.7892005,-116.4830524,67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/118/
Trader Joe's Glendale (53),34.1598391,-118.2545353,103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192,https://locations.traderjoes.com/ca/glendale/53/
Trader Joe's Sacramento (70),38.61859690000001,-121.4001675,2625 Marconi Ave,Sacramento,CA,95821,916-481-8797,https://locations.traderjoes.com/ca/sacramento/70/
Trader Joe's Sacramento (175),38.5603946,-121.4448139,5000 Folsom Blvd,Sacramento,CA,95819,916-456-1853,https://locations.traderjoes.com/ca/sacramento/175/
Trader Joe's Fremont (77),37.5434679,-121.9861519,39324 Argonaut Way,Fremont,CA,94538,510-794-1386,https://locations.traderjoes.com/ca/fremont/77/
Trader Joe's Santa Cruz (193),36.974544,-122.0246976,700 Front St,Santa Cruz,CA,95060,831-425-0140,https://locations.traderjoes.com/ca/santa-cruz/193/
Trader Joe's Rancho Palos Verdes (233),33.7493301,-118.4066803,31176 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,310-544-1727,https://locations.traderjoes.com/ca/rancho-palos-verdes/233/
Trader Joe's Rancho Palos Verdes - S. Western Ave. (57),33.7565157,-118.3116513,28901 S Western Ave,Rancho Palos Verdes,CA,90275,310-832-1241,https://locations.traderjoes.com/ca/rancho-palos-verdes/57/
Trader Joe's Daly City (74),37.7000041,-122.482237,417 Westlake Center,Daly City,CA,94015,650-755-3825,https://locations.traderjoes.com/ca/daly-city/74/
Trader Joe's Encinitas (25),33.0471008,-117.2558081,115 N El Camino Real,Encinitas,CA,92024,760-634-2114,https://locations.traderjoes.com/ca/encinitas/25/
Trader Joe's Huntington Beach - Brookhurst (241),33.6512647,-117.9548614,21431 Brookhurst St,Huntington Beach,CA,92646,714-968-4070,https://locations.traderjoes.com/ca/huntington-beach/241/
Trader Joe's Huntington Harbour (244),33.7175194,-118.05145,16821 Algonquin St,Huntington Beach,CA,92649,714-846-7307,https://locations.traderjoes.com/ca/huntington-beach/244/
Trader Joe's Huntington Beach (47),33.6925294,-117.9927157,18681 Main St,Huntington Beach,CA,92648,714-848-9640,https://locations.traderjoes.com/ca/huntington-beach/47/
Trader Joe's Burbank (124),34.1749591,-118.2988641,214 E Alameda Ave,Burbank,CA,91502,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/
Trader Joe's Campbell (73),37.2890018,-121.9325588,1875 Bascom Ave,Campbell,CA,95008,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/
Trader Joe's San Diego - Hillcrest (26),32.7498752,-117.1538189,1090 University Avenue,San Diego,CA,92103,619-296-3122,https://locations.traderjoes.com/ca/san-diego/26/
Trader Joe's Scripps Ranch (221),32.9144947,-117.1151691,9850 Hibert St,San Diego,CA,92131,858-549-9185,https://locations.traderjoes.com/ca/san-diego/221/
Trader Joe's San Diego - Carmel Mtn Ranch (23),32.9821123,-117.0750506,11955 Carmel Mountain Rd,San Diego,CA,92128,858-673-0526,https://locations.traderjoes.com/ca/san-diego/23/
Trader Joe's Del Mar (223 ),32.9611431,-117.1914046,13480 Highlands Place,San Diego,CA,92130,858-755-7130,https://locations.traderjoes.com/ca/san-diego/223/
Trader Joe's Mission Valley (222),32.7660316,-117.1550596,1072 Camino Del Rio North,San Diego,CA,92108,619-297-0749,https://locations.traderjoes.com/ca/san-diego/222/
Trader Joe's San Diego - Point Loma (188),32.7362416,-117.2169709,2401 Truxtun Rd,San Diego,CA,92106,619-758-9272,https://locations.traderjoes.com/ca/san-diego/188/
Trader Joe's San Diego - SDSU (224),32.7720159,-117.0703521,5140 College Ave,San Diego,CA,92115,619-229-9092,https://locations.traderjoes.com/ca/san-diego/224/
